Placed Component Report
E:/cmSystem/allegro/CMS.brd
Thu Aug 23 10:09:16 2018
Total Placed Components:  226
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
C01,CAP NP_C0603_10UF,10uF,,C0603,14.8500,54.7500,270.000,NO
C02,CAP NP_C0603_10UF,10uF,,C0603,22.3500,54.7500,270.000,NO
C03,CAP NP_C0603_10UF,10uF,,C0603,29.8500,54.7500,270.000,NO
C04,CAP NP_C0603_10UF,10uF,,C0603,37.3500,54.7500,270.000,NO
C05,CAP NP_C0603_10UF,10uF,,C0603,44.8500,54.7500,270.000,NO
C06,CAP NP_C0603_10UF,10uF,,C0603,52.3500,54.7500,270.000,NO
C07,CAP NP_C0603_10UF,10uF,,C0603,59.8500,54.7500,270.000,NO
C08,CAP NP_C0603_10UF,10uF,,C0603,67.3500,54.7500,270.000,NO
C09,CAP NP_C0603_10UF,10uF,,C0603,74.8500,54.7500,270.000,NO
C10,CAP NP_C0603_10UF,10uF,,C0603,82.3500,54.7500,270.000,NO
C11,CAP NP_C0603_10UF,10uF,,C0603,89.8500,54.7500,270.000,NO
C12,CAP NP_C0603_0.1UF,0.1uF,,C0603,95.8500,54.7500,90.000,NO
C13,CAP NP_C0603_0.1UF,0.1uF,,C0603,95.8500,49.7500,270.000,NO
C14,CAP NP_C0603_2.2UF,2.2uF,,C0603,98.8500,49.7500,90.000,NO
C15,CAP NP_C0603_0.1UF,0.1uF,,C0603,118.3500,47.7500,270.000,NO
C16,CAP NP_C0603_6PF,6pF,,C0603,71.8500,44.7500,0.000,NO
C17,CAP NP_C0603_10NF,10nF,,C0603,80.8500,42.7500,0.000,NO
C18,CAP NP_C0603_0.1UF,0.1uF,,C0603,118.3500,42.7500,90.000,NO
C19,CAP NP_C0603_0.1UF,0.1uF,,C0603,85.3500,41.7500,90.000,NO
C20,CAP NP_C0603_0.1UF,0.1uF,,C0603,97.3500,41.7500,270.000,NO
C21,CAP NP_C0603_1UF,1uF,,C0603,80.8500,40.7500,0.000,NO
C22,CAP NP_C0603_6PF,6pF,,C0603,71.8500,38.7500,180.000,NO
C23,CAP NP_C0603_0.1UF,0.1uF,,C0603,80.8500,38.7500,0.000,NO
C24,CAP NP_C0603_2.2UF,2.2uF,,C0603,109.3500,36.7500,270.000,NO
C25,CAP NP_C0603_2.2UF,2.2uF,,C0603,116.8500,36.7500,90.000,NO
C26,CAP NP_C0603_22NF,22nF,,C0603,118.3500,36.7500,90.000,NO
C27,CAP NP_C0603_0.1UF,0.1uF,,C0603,64.3500,36.2500,180.000,NO
