Designator,Comment,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C01,CAP NP_C0603_10UF,10uF,C0603,14.85,54.75,270,T
C02,CAP NP_C0603_10UF,10uF,C0603,22.35,54.75,270,T
C03,CAP NP_C0603_10UF,10uF,C0603,29.85,54.75,270,T
C04,CAP NP_C0603_10UF,10uF,C0603,37.35,54.75,270,T
C05,CAP NP_C0603_10UF,10uF,C0603,44.85,54.75,270,T
C06,CAP NP_C0603_10UF,10uF,C0603,52.35,54.75,270,T
C07,CAP NP_C0603_10UF,10uF,C0603,59.85,54.75,270,T
C08,CAP NP_C0603_10UF,10uF,C0603,67.35,54.75,270,T
C09,CAP NP_C0603_10UF,10uF,C0603,74.85,54.75,270,T
C10,CAP NP_C0603_10UF,10uF,C0603,82.35,54.75,270,T
C11,CAP NP_C0603_10UF,10uF,C0603,89.85,54.75,270,T
C12,CAP NP_C0603_0.1UF,0.1uF,C0603,95.85,54.75,90,T
C13,CAP NP_C0603_0.1UF,0.1uF,C0603,95.85,49.75,270,T
C14,CAP NP_C0603_2.2UF,2.2uF,C0603,98.85,49.75,90,T
C15,CAP NP_C0603_0.1UF,0.1uF,C0603,118.35,47.75,270,T
C16,CAP NP_C0603_6PF,6pF,C0603,71.85,44.75,0,T
C17,CAP NP_C0603_10NF,10nF,C0603,80.85,42.75,0,T
C18,CAP NP_C0603_0.1UF,0.1uF,C0603,118.35,42.75,90,T
C19,CAP NP_C0603_0.1UF,0.1uF,C0603,85.35,41.75,90,T
C20,CAP NP_C0603_0.1UF,0.1uF,C0603,97.35,41.75,270,T
C21,CAP NP_C0603_1UF,1uF,C0603,80.85,40.75,0,T
C22,CAP NP_C0603_6PF,6pF,C0603,71.85,38.75,180,T
C23,CAP NP_C0603_0.1UF,0.1uF,C0603,80.85,38.75,0,T
C24,CAP NP_C0603_2.2UF,2.2uF,C0603,109.35,36.75,270,T
C25,CAP NP_C0603_2.2UF,2.2uF,C0603,116.85,36.75,90,T
C26,CAP NP_C0603_22NF,22nF,C0603,118.35,36.75,90,T
C27,CAP NP_C0603_0.1UF,0.1uF,C0603,64.35,36.25,180,T
C28,CAP NP_C0603_0.1UF,0.1uF,C0603,64.35,34.75,180,T
C29,CAP NP_C0603_4.7UF,4.7uF,C0603,64.35,33.25,180,T
C30,CAP NP_C0603_33PF,33pF,C0603,112.35,31.75,270,T
C31,CAP NP_C0805_10UF/25V,10uF/25V,C0805,114.35,31.75,270,T
C32,CAP NP_C0603_0.1UF,0.1uF,C0603,34.35,28.75,90,T
C33,CAP NP_C0603_0.1UF,0.1uF,C0603,50.85,28.75,270,T
C34,CAP NP_C0603_0.1UF,0.1uF,C0603,85.35,27.75,90,T
C35,CAP NP_C0603_0.1UF,0.1uF,C0603,95.85,27.75,270,T
C36,CAP NP_C0603_0.1UF,0.1uF,C0603,114.35,25.75,90,T
C37,CAP NP_C0603_0.1UF,0.1uF,C0603,71.85,24.25,90,T
C38,CAP NP_C1206_4.7UF/50V,4.7uF/50V,C1206,111.35,18.25,90,T
C39,CAP NP_C0805_2.2UF/50V,2.2uF/50V,C0805,103.35,13.75,180,T
D01,LED_LED-3MM_GREEN,GREEN,LED-3MM,34.35,43.75,90,T
D02,LED_LED-3MM_GREEN,GREEN,LED-3MM,41.85,43.75,90,T
D03,LED_LED-3MM_YELLOW,YELLOW,LED-3MM,49.35,43.75,90,T
D04,DIODE TVS_SMA_SMAJ36CA,SMAJ36CA,SMA,91.35,39.75,270,T
D05,DIODE_SOD-323_1N4148WS,1N4148WS,SOD-323,94.35,37.75,90,T
D06,DIODE_SOD-323_1N4148WS,1N4148WS,SOD-323,8.85,33.25,180,T
D07,DIODE_SOD-323_1N4148WS,1N4148WS,SOD-323,20.85,33.25,180,T
D08,DIODE TVS_SMA_SMAJ36CA,SMAJ36CA,SMA,5.85,27.25,0,T
D09,DIODE TVS_SMA_SMAJ36CA,SMAJ36CA,SMA,17.85,27.25,0,T
D10,DIODE TVS_SMA_SMAJ36CA,SMAJ36CA,SMA,91.35,25.75,270,T
D11,DIODE ZENER_SOD-323_MZT52C3V6S,MZT52C3V6S,SOD-323,106.35,25.75,90,T
D12,DIODE_SOD-323_1N4148WS,1N4148WS,SOD-323,94.35,23.75,90,T
D13,DIODE SCHOTTKY_SMA_SS16,SS16,SMA,106.35,20.25,180,T
D14,LED_BI_CA_LED-3MM-2_LED_BI_CA,LED_BI_CA,LED-3MM-2,16.35,18.25,270,T
D15,LED_BI_CA_LED-3MM-2_LED_BI_CA,LED_BI_CA,LED-3MM-2,23.85,18.25,270,T
D16,LED_BI_CA_LED-3MM-2_LED_BI_CA,LED_BI_CA,LED-3MM-2,31.35,18.25,270,T
D17,LED_LED-3MM_GREEN,GREEN,LED-3MM,38.85,18.25,90,T
D18,LED_LED-3MM_GREEN,GREEN,LED-3MM,46.35,18.25,90,T
D19,LED_LED-3MM_GREEN,GREEN,LED-3MM,53.85,18.25,90,T
D20,LED_LED-3MM_GREEN,GREEN,LED-3MM,61.35,18.25,90,T
